Hours_Studied,CGPA,Extracurricular_Activities,Sleep_Hours,Sample_Question_Papers_Practiced,Performance_Index
1,9.2,No,4,6,66.0
4,5.6,Yes,8,3,38.0
4,7.4,No,8,9,56.0
5,4.0,No,4,9,25.0
7,6.8,No,4,8,56.0
7,9.0,Yes,4,8,82.0
4,4.3,Yes,7,2,23.0
7,6.2,Yes,9,2,56.0
3,6.7,No,9,8,46.0
6,5.5,Yes,4,9,43.0
2,5.1,Yes,9,7,30.0
9,9.2,Yes,8,0,92.0
5,6.0,No,4,5,45.0
6,8.4,No,5,6,70.0
4,5.6,No,4,7,36.0
7,7.9,No,4,1,71.0
9,5.2,No,9,0,49.0
7,9.1,Yes,6,3,82.0
1,9.7,Yes,8,0,71.0
1,7.1,No,9,1,43.0
9,7.6,No,8,2,77.0
9,8.9,Yes,5,3,86.0
4,5.4,No,7,5,34.0
9,5.1,No,6,7,49.0
3,8.8,No,5,8,69.0
7,9.6,No,5,3,84.0
6,5.4,No,8,0,41.0
8,7.3,Yes,6,4,68.0
9,4.5,Yes,8,4,44.0
5,5.6,No,7,8,41.0
1,8.7,No,8,5,58.0
3,8.8,Yes,4,4,68.0
8,9.6,No,8,9,94.0
6,5.9,Yes,4,9,47.0
8,4.8,No,5,4,40.0
9,9.8,Yes,7,7,100.0
4,4.4,Yes,9,0,23.0
1,6.2,No,4,4,36.0
1,7.2,No,7,0,47.0
4,7.7,Yes,8,6,60.0
7,9.5,No,9,6,83.0
2,5.3,Yes,8,9,33.0
3,5.6,No,5,7,36.0
1,9.6,No,8,6,74.0
5,5.8,No,4,8,42.0
1,7.2,Yes,5,7,47.0
8,4.0,Yes,7,7,31.0
1,5.2,No,5,2,26.0
1,8.5,Yes,7,9,58.0
2,6.6,No,6,3,42.0
2,4.5,Yes,4,3,18.0
6,9.8,No,4,0,85.0
7,4.5,Yes,7,5,36.0
5,7.2,Yes,8,1,58.0
1,6.9,Yes,9,8,45.0
1,8.5,Yes,8,0,60.0
3,7.4,Yes,6,0,56.0
2,6.2,Yes,7,9,42.0
5,4.9,No,6,5,33.0
6,9.0,No,7,0,77.0
7,5.8,Yes,6,2,51.0
4,9.0,No,7,9,72.0
7,6.7,Yes,4,1,57.0
8,6.2,No,6,8,53.0
1,4.3,No,6,4,16.0
6,5.9,No,7,5,45.0
8,5.8,No,5,1,49.0
5,8.1,Yes,5,7,67.0
4,6.6,No,4,5,49.0
2,9.6,No,8,7,73.0
6,7.3,No,8,7,65.0
6,4.3,Yes,4,0,27.0
1,9.5,No,8,6,72.0
9,7.7,Yes,9,1,74.0
6,4.6,Yes,9,7,38.0
3,8.7,No,9,1,67.0
4,4.6,Yes,9,3,28.0
4,8.9,No,7,1,73.0
3,9.1,No,5,6,72.0
3,6.5,No,4,4,42.0
3,6.5,No,7,8,47.0
4,9.3,No,9,4,77.0
7,5.8,No,4,7,49.0
4,4.8,No,5,1,30.0
9,5.9,Yes,8,2,54.0
1,8.1,Yes,7,5,56.0
8,8.4,No,5,6,75.0
7,8.9,No,4,9,78.0
2,5.5,Yes,6,7,32.0
8,9.3,No,7,2,89.0
1,5.6,Yes,4,6,29.0
9,6.1,Yes,4,7,57.0
9,5.2,No,5,9,48.0
2,5.1,No,4,5,27.0
7,4.9,Yes,7,3,38.0
3,4.0,Yes,9,5,18.0
7,7.1,No,7,8,66.0
9,6.9,No,4,2,65.0
4,4.7,Yes,5,1,27.0
1,6.0,Yes,7,4,33.0
2,6.1,Yes,6,6,37.0
1,5.7,No,9,2,29.0
5,4.1,No,8,4,26.0
5,8.7,No,5,3,72.0
7,8.3,Yes,5,6,77.0
9,4.8,Yes,8,1,45.0
9,4.2,No,8,6,41.0
3,9.3,Yes,7,1,73.0
3,6.5,Yes,4,2,43.0
3,6.0,Yes,4,4,39.0
4,6.9,Yes,6,6,54.0
8,6.7,Yes,9,5,62.0
6,7.5,No,4,6,63.0
8,6.5,No,6,5,59.0
1,7.3,No,6,0,46.0
8,4.7,No,5,4,42.0
4,4.9,No,5,0,30.0
1,8.7,Yes,9,6,63.0
8,9.4,Yes,7,3,89.0
4,8.2,Yes,8,4,62.0
6,8.9,No,8,0,77.0
8,9.3,Yes,9,7,88.0
4,5.3,Yes,6,3,35.0
3,7.9,Yes,9,2,60.0
9,9.4,No,8,0,92.0
3,5.4,Yes,6,3,38.0
9,5.6,Yes,8,2,56.0
2,9.2,No,7,7,70.0
2,5.7,No,5,8,35.0
2,7.1,Yes,5,4,47.0
6,7.7,No,6,8,66.0
3,6.2,Yes,9,0,43.0
9,8.5,No,8,6,81.0
4,6.2,Yes,4,6,43.0
1,7.4,Yes,7,5,46.0
4,7.8,No,8,3,61.0
1,5.4,No,4,8,27.0
5,9.2,No,7,2,77.0
4,6.3,No,7,0,43.0
8,6.7,Yes,5,1,60.0
8,5.5,No,6,2,48.0
7,5.5,Yes,8,1,47.0
3,7.9,Yes,7,5,60.0
1,7.8,Yes,8,6,53.0
1,4.5,No,7,4,19.0
3,4.1,Yes,9,4,23.0
6,9.3,Yes,5,6,81.0
7,5.2,No,6,5,41.0
6,8.3,Yes,4,7,71.0
6,8.6,Yes,4,8,75.0
6,9.8,Yes,9,1,89.0
3,4.8,No,5,1,28.0
6,7.3,Yes,7,0,60.0
8,5.6,Yes,5,6,54.0
2,6.6,Yes,6,3,41.0
5,6.8,No,4,8,52.0
1,7.6,No,8,5,53.0
1,8.2,No,4,6,52.0
5,6.1,Yes,6,6,47.0
3,9.0,Yes,7,7,71.0
4,6.3,Yes,5,3,42.0
3,4.6,Yes,4,2,21.0
1,7.3,Yes,4,2,48.0
1,8.7,No,8,9,64.0
5,5.1,Yes,5,7,38.0
6,6.2,Yes,8,2,49.0
3,5.4,No,8,7,35.0
9,7.2,No,7,1,73.0
5,9.6,Yes,4,4,81.0
8,5.2,No,9,4,47.0
1,6.2,No,5,6,36.0
5,7.7,No,7,4,63.0
3,7.1,Yes,9,8,52.0
1,8.4,No,7,2,58.0
4,8.9,Yes,7,8,77.0
5,7.4,No,6,0,58.0
7,4.0,Yes,6,2,33.0
1,8.6,Yes,7,3,67.0
3,9.7,Yes,6,5,76.0
2,8.4,No,5,9,62.0
9,4.4,No,4,7,37.0
6,9.6,No,9,6,86.0
3,5.2,Yes,5,7,37.0
8,9.3,No,4,5,88.0
8,4.4,No,6,5,38.0
2,9.9,Yes,9,5,76.0
6,7.1,No,5,2,57.0
7,9.0,Yes,8,9,82.0
2,6.0,No,7,3,35.0
2,6.3,Yes,4,5,41.0
1,9.9,Yes,4,6,75.0
8,5.7,No,8,2,51.0
1,6.0,Yes,8,3,34.0
9,9.3,No,7,5,92.0
6,4.9,No,6,0,39.0
7,6.3,No,5,6,56.0
7,7.9,No,5,0,69.0
3,8.6,Yes,5,9,69.0
2,6.0,Yes,6,8,40.0
9,6.4,Yes,7,9,63.0
8,9.1,No,5,8,86.0
7,9.9,No,4,8,89.0
9,9.6,Yes,4,3,94.0
4,9.8,Yes,4,1,79.0
4,6.2,No,8,6,44.0
1,6.1,No,8,3,33.0
8,4.3,No,6,4,36.0
3,7.3,Yes,5,0,50.0
7,9.5,No,8,9,94.0
2,4.5,Yes,4,5,22.0
2,6.7,No,8,6,44.0
7,7.0,Yes,4,2,60.0
6,7.4,No,5,9,64.0
3,7.8,Yes,6,1,58.0
9,8.1,Yes,7,9,78.0
6,6.2,Yes,7,6,51.0
6,4.5,No,4,0,30.0
1,5.5,Yes,8,1,29.0
4,4.1,Yes,8,2,22.0
6,6.3,No,4,3,51.0
6,5.6,Yes,5,4,45.0
5,8.4,Yes,4,3,70.0
1,4.0,No,5,9,10.0
8,4.5,Yes,6,2,38.0
5,4.4,No,6,0,30.0
5,9.6,Yes,4,6,82.0
7,8.4,No,6,9,74.0
4,9.9,Yes,8,5,87.0
6,9.4,Yes,5,1,77.0
4,8.9,Yes,7,1,72.0
3,6.8,No,7,2,51.0
7,5.1,Yes,6,7,40.0
8,7.8,Yes,5,7,72.0
4,8.6,No,8,9,68.0
2,4.2,No,7,9,22.0
3,8.7,No,8,9,67.0
1,4.0,Yes,8,9,18.0
8,6.6,Yes,7,7,64.0
3,8.7,Yes,7,6,66.0
7,6.3,No,6,1,50.0
5,8.3,No,5,0,68.0
5,5.8,Yes,4,5,44.0
7,9.8,Yes,5,7,90.0
9,4.7,No,4,0,41.0
5,9.4,No,7,2,83.0
1,8.3,No,8,0,57.0
1,8.6,Yes,5,9,64.0
2,4.1,No,8,8,18.0
6,6.9,No,5,6,62.0
9,6.9,No,9,7,66.0
8,8.8,No,5,8,85.0
5,7.8,Yes,8,2,62.0
1,8.4,No,9,9,62.0
7,7.1,Yes,6,1,62.0
5,4.0,Yes,7,5,26.0
6,7.7,No,6,4,66.0
7,5.2,No,6,3,43.0
3,5.0,Yes,5,5,30.0
3,4.9,No,7,5,25.0
5,8.7,Yes,9,2,77.0
6,9.8,No,5,1,88.0
9,6.5,Yes,4,8,62.0
5,9.5,Yes,5,7,82.0
1,9.4,Yes,9,3,73.0
4,5.9,No,8,5,44.0
5,5.6,Yes,5,2,40.0
5,5.6,Yes,4,7,39.0
7,4.3,No,5,2,34.0
4,4.4,No,9,1,27.0
1,9.9,Yes,4,6,73.0
5,6.2,Yes,7,2,46.0
7,8.5,No,9,8,78.0
6,9.1,Yes,5,2,80.0
5,4.9,No,4,7,33.0
4,8.5,No,9,1,68.0
2,6.7,No,7,8,45.0
4,7.2,Yes,8,0,56.0
3,8.2,No,6,2,58.0
1,6.5,Yes,4,1,37.0
8,9.4,Yes,8,6,88.0
5,8.9,No,7,4,75.0
4,8.7,No,8,7,70.0
8,6.8,No,5,1,62.0
7,6.6,No,6,7,57.0
2,5.7,Yes,4,6,32.0
1,7.9,Yes,9,4,53.0
4,9.9,No,7,1,82.0
8,4.9,Yes,6,9,41.0
2,9.7,No,7,6,75.0
3,8.1,Yes,8,9,63.0
1,4.4,Yes,7,3,17.0
1,4.9,Yes,7,3,24.0
3,8.9,No,8,7,69.0
5,6.0,Yes,8,5,47.0
3,6.3,Yes,6,8,43.0
1,7.7,Yes,4,1,48.0
1,4.2,Yes,8,4,17.0
8,7.9,No,6,5,75.0
2,7.0,Yes,7,7,54.0
3,8.0,No,7,3,59.0
2,7.6,No,9,6,56.0
3,4.1,Yes,5,6,20.0
7,4.1,Yes,8,3,34.0
1,7.8,No,6,0,54.0
8,8.8,No,9,2,83.0
2,8.1,No,6,1,59.0
3,8.3,Yes,4,2,63.0
9,7.3,Yes,9,4,72.0
7,8.1,No,6,0,70.0
4,5.9,No,8,4,41.0
5,7.2,No,6,1,54.0
2,4.3,Yes,5,3,21.0
8,8.4,Yes,7,5,83.0
4,8.3,No,7,8,64.0
9,5.0,Yes,9,9,51.0
5,8.1,No,6,5,66.0
9,8.6,Yes,6,9,83.0
4,4.4,No,6,1,26.0
5,6.4,Yes,6,7,49.0
9,8.8,Yes,5,4,85.0
8,9.9,Yes,8,8,95.0
3,7.6,Yes,5,9,56.0
1,7.3,Yes,5,8,50.0
3,4.8,Yes,5,3,23.0
4,4.5,Yes,7,0,26.0
2,5.7,No,5,8,30.0
1,5.3,No,6,8,28.0
7,5.8,No,5,7,48.0
8,5.3,Yes,6,4,46.0
7,7.9,Yes,9,4,73.0
5,5.6,Yes,8,9,45.0
1,9.9,No,7,5,76.0
7,7.4,No,8,0,71.0
7,6.8,No,9,8,60.0
9,8.1,No,8,4,77.0
3,5.6,No,7,6,36.0
9,9.8,No,6,7,96.0
1,8.2,Yes,9,4,62.0
1,4.7,No,9,2,22.0
4,4.0,Yes,6,5,21.0
9,8.4,No,6,6,79.0
6,9.2,No,7,3,82.0
3,7.5,Yes,5,8,55.0
1,4.6,Yes,4,3,22.0
4,8.5,Yes,5,9,70.0
9,4.4,No,5,1,37.0
3,6.3,No,8,8,42.0
9,6.7,Yes,4,3,64.0
7,8.2,No,6,3,72.0
4,5.6,Yes,5,9,42.0
3,7.6,No,7,0,56.0
5,5.9,No,5,1,43.0
5,4.2,No,6,2,24.0
3,7.6,Yes,5,6,55.0
9,6.5,No,9,8,64.0
4,5.4,Yes,8,4,34.0
5,9.0,Yes,8,3,78.0
4,8.7,Yes,5,1,71.0
5,4.7,Yes,8,6,33.0
7,5.2,Yes,7,5,46.0
9,8.7,Yes,4,6,86.0
7,4.2,Yes,5,7,34.0
5,4.0,Yes,7,8,26.0
7,4.8,Yes,9,9,44.0
5,7.0,No,7,4,53.0
3,8.0,Yes,7,4,61.0
7,9.3,No,9,3,84.0
2,6.5,Yes,6,2,40.0
9,5.6,No,5,6,53.0
1,9.5,No,5,4,67.0
6,7.3,No,5,6,58.0
7,4.8,No,4,1,41.0
8,9.5,No,7,8,89.0
9,9.0,No,5,8,85.0
2,5.2,Yes,8,8,33.0
2,4.4,Yes,6,4,20.0
5,8.0,Yes,9,9,66.0
5,5.2,Yes,9,8,38.0
6,4.0,Yes,4,0,25.0
3,6.4,Yes,9,1,43.0
8,8.6,No,6,9,79.0
1,4.3,Yes,7,4,16.0
6,7.5,No,9,4,67.0
4,9.1,No,9,5,80.0
1,4.9,No,8,7,26.0
7,6.7,No,7,0,57.0
9,9.6,No,5,9,91.0
4,4.5,No,6,8,29.0
4,6.6,Yes,9,3,48.0
6,9.5,No,8,7,84.0
3,5.1,No,6,4,33.0
6,9.1,Yes,4,0,82.0
7,8.7,Yes,8,8,81.0
3,4.2,Yes,4,7,24.0
7,8.5,Yes,9,4,81.0
3,7.2,Yes,8,3,54.0
2,4.9,Yes,5,7,25.0
4,7.0,Yes,6,8,53.0
8,5.4,No,6,6,48.0
9,4.6,Yes,7,3,40.0
7,7.5,No,8,6,66.0
1,5.3,Yes,8,5,29.0
3,9.5,Yes,4,2,73.0
9,8.7,No,8,9,89.0
1,5.3,Yes,6,2,27.0
9,4.2,Yes,8,0,40.0
8,8.8,Yes,7,4,83.0
1,9.2,Yes,7,7,69.0
6,8.5,Yes,6,5,72.0
5,8.9,Yes,6,7,77.0
6,4.2,Yes,6,6,32.0
5,6.1,No,8,1,49.0
6,5.8,Yes,8,7,44.0
5,7.4,No,5,3,57.0
5,5.1,No,9,4,34.0
4,9.3,No,9,7,76.0
3,4.4,No,4,4,22.0
3,4.9,No,8,4,30.0
4,8.0,No,5,5,67.0
9,7.2,No,5,6,71.0
2,5.2,Yes,7,8,29.0
9,7.4,Yes,8,6,74.0
1,9.0,Yes,5,5,67.0
1,7.1,No,7,9,46.0
5,5.0,Yes,4,3,34.0
6,8.7,No,7,9,76.0
6,7.7,No,4,1,64.0
3,6.3,Yes,9,8,46.0
7,7.4,No,9,9,68.0
9,5.8,No,6,4,58.0
8,4.5,Yes,6,4,41.0
6,7.9,No,7,2,64.0
8,9.3,Yes,6,2,84.0
5,8.4,No,8,0,70.0
8,8.3,No,7,4,77.0
4,8.1,Yes,5,2,60.0
8,7.4,Yes,8,1,65.0
2,4.3,Yes,7,8,21.0
5,7.2,No,9,9,60.0
9,5.2,No,4,5,48.0
4,9.5,Yes,6,2,77.0
6,7.5,Yes,6,6,63.0
1,9.3,Yes,6,8,68.0
9,8.2,No,7,8,81.0
1,5.8,No,8,0,29.0
5,8.2,Yes,4,1,66.0
4,5.1,Yes,6,7,36.0
3,5.0,Yes,8,0,29.0
6,4.5,No,5,2,32.0
2,5.1,Yes,9,6,31.0
3,6.6,Yes,5,7,45.0
5,8.0,Yes,4,4,65.0
9,6.4,No,6,1,57.0
2,8.1,No,5,2,58.0
8,4.2,Yes,9,8,38.0
2,4.2,No,8,9,22.0
5,5.9,Yes,8,6,48.0
7,6.7,Yes,5,0,59.0
8,6.2,Yes,6,2,58.0
1,8.7,Yes,9,8,62.0
6,4.2,No,4,6,30.0
1,8.1,Yes,6,1,56.0
2,6.3,Yes,7,5,40.0
1,8.2,No,5,8,59.0
5,7.9,Yes,7,3,65.0
9,4.5,No,5,9,43.0
6,5.9,Yes,4,1,48.0
1,5.0,Yes,6,2,24.0
1,7.1,Yes,9,6,51.0
2,9.9,Yes,6,3,81.0
9,6.6,No,5,6,62.0
3,6.0,Yes,8,4,43.0
1,8.3,No,7,7,63.0
5,8.7,No,9,7,73.0
7,8.9,No,9,4,76.0
6,5.2,Yes,6,6,43.0
1,6.1,No,6,5,34.0
5,7.4,No,5,7,57.0
5,8.6,No,8,8,72.0
6,6.1,Yes,7,4,47.0
3,6.7,Yes,8,6,52.0
5,6.0,No,9,0,49.0
7,8.5,No,8,7,77.0
5,5.7,Yes,5,2,41.0
5,7.0,No,8,0,56.0
5,9.9,No,7,5,89.0
3,8.5,No,9,7,65.0
1,7.6,Yes,4,2,49.0
5,6.0,No,9,0,48.0
9,5.3,No,4,2,47.0
1,6.4,Yes,7,4,37.0
3,6.6,No,9,7,48.0
4,7.9,Yes,9,8,61.0
1,9.9,Yes,9,8,77.0
1,9.9,Yes,9,3,75.0
8,6.2,No,5,7,57.0
2,7.0,No,6,4,45.0
8,8.6,No,9,2,82.0
7,9.9,No,5,4,90.0
2,6.8,No,7,1,42.0
6,8.6,No,9,5,74.0
6,6.9,No,8,0,60.0
3,9.0,No,9,5,73.0
2,6.5,Yes,9,4,40.0
1,5.9,No,4,8,32.0
6,7.7,No,8,6,67.0
5,5.8,Yes,9,5,46.0
9,6.6,No,9,6,65.0
1,6.4,Yes,9,9,42.0
7,7.9,No,5,4,69.0
5,7.7,No,7,0,62.0
5,9.1,Yes,4,8,75.0
2,6.2,Yes,9,4,40.0
3,6.8,No,7,3,43.0
7,5.4,Yes,4,5,42.0
6,9.8,No,4,4,84.0
2,4.2,No,4,0,15.0
6,4.9,No,9,1,39.0
2,5.4,No,5,3,26.0
2,9.5,No,9,7,73.0
2,5.5,No,9,4,34.0
3,5.6,Yes,7,6,34.0
2,5.8,Yes,6,1,37.0
4,5.0,Yes,6,7,34.0
9,8.7,No,6,4,85.0
6,4.4,Yes,7,3,31.0
1,4.4,No,8,8,18.0
8,9.7,Yes,7,5,92.0
7,5.3,No,4,3,44.0
3,8.9,No,9,7,72.0
1,6.5,No,8,2,40.0
5,4.7,No,4,9,31.0
4,4.4,No,9,1,25.0
8,4.6,Yes,9,6,44.0
1,5.5,No,4,3,27.0
1,9.4,Yes,7,3,66.0
4,5.3,No,6,9,34.0
8,7.6,No,8,8,70.0
5,9.5,No,9,1,81.0
2,8.0,Yes,5,0,56.0
6,4.3,No,9,6,30.0
5,7.5,Yes,6,7,60.0
2,8.7,No,9,2,64.0
3,9.5,Yes,5,1,74.0
9,5.6,Yes,7,3,52.0
7,8.6,Yes,9,1,84.0
7,7.5,No,8,1,66.0
6,4.5,No,7,4,32.0
8,5.5,Yes,5,9,47.0
4,6.8,No,4,4,51.0
8,7.5,No,9,7,67.0
4,7.7,No,7,8,57.0
8,7.6,Yes,9,1,71.0
9,8.7,Yes,8,0,86.0
3,9.6,No,9,2,77.0
3,8.7,Yes,7,5,72.0
2,4.9,No,6,4,24.0
3,8.0,No,7,7,60.0
3,7.5,Yes,5,7,55.0
5,6.8,Yes,7,1,54.0
5,5.3,No,8,8,39.0
2,4.3,No,7,3,19.0
6,8.3,No,7,0,68.0
5,9.5,Yes,8,1,83.0
6,8.1,Yes,7,5,72.0
1,7.5,No,8,4,49.0
5,8.9,No,5,6,74.0
9,8.4,Yes,8,8,86.0
2,5.2,No,5,5,26.0
1,8.5,Yes,5,5,60.0
9,5.7,Yes,8,1,54.0
9,7.2,No,7,6,73.0
9,6.0,No,9,1,61.0
6,5.5,Yes,6,6,45.0
8,5.4,No,9,7,57.0
1,9.3,Yes,8,0,68.0
4,9.6,Yes,7,8,72.0
1,4.4,Yes,5,7,17.0
8,4.5,No,4,8,37.0
1,7.7,No,6,4,54.0
3,4.2,No,9,3,22.0
4,8.7,Yes,7,0,73.0
8,5.1,Yes,6,8,47.0
6,7.5,Yes,4,3,63.0
7,7.2,Yes,4,3,63.0
8,7.5,No,4,3,68.0
2,7.2,No,9,1,52.0
8,7.0,No,8,3,64.0
3,6.0,Yes,6,1,38.0
7,6.6,Yes,8,7,60.0
3,6.6,No,4,6,45.0
7,4.7,Yes,7,9,39.0
2,9.5,No,4,1,75.0
6,7.6,Yes,8,1,67.0
3,7.1,Yes,4,1,48.0
3,6.5,Yes,4,0,44.0
9,4.1,Yes,8,5,37.0
7,5.1,Yes,8,5,41.0
5,6.1,No,7,0,47.0
7,5.6,No,8,0,45.0
9,4.6,No,7,5,43.0
1,8.2,Yes,5,5,54.0
7,4.3,No,5,3,32.0
6,7.6,No,8,2,64.0
9,7.7,Yes,4,8,74.0
1,7.1,Yes,6,5,50.0
4,5.0,No,4,0,33.0
9,4.0,No,8,2,36.0
4,6.4,No,7,0,45.0
3,8.1,No,4,2,58.0
9,9.1,No,5,1,85.0
2,6.3,Yes,9,4,41.0
4,9.2,No,8,2,78.0
6,8.2,No,4,6,63.0
2,9.5,No,9,7,76.0
8,5.6,No,4,6,51.0
8,4.7,No,7,1,36.0
1,9.8,No,7,9,74.0
3,8.4,Yes,7,9,65.0
9,6.6,Yes,9,6,65.0
5,9.1,Yes,6,9,79.0
6,5.7,No,9,2,46.0
4,6.6,No,8,6,47.0
2,6.1,Yes,8,0,42.0
8,5.5,No,5,1,46.0
6,4.1,No,5,9,34.0
5,4.4,No,8,0,27.0
9,5.7,Yes,4,8,52.0
1,4.2,Yes,8,1,17.0
5,6.6,Yes,6,1,53.0
6,9.3,No,5,5,84.0
5,5.6,Yes,5,6,39.0
6,5.5,Yes,9,1,44.0
6,4.5,Yes,5,3,36.0
7,9.0,No,8,2,81.0
4,4.6,Yes,5,4,30.0
8,8.9,Yes,5,8,80.0
7,5.3,No,9,1,41.0
9,7.7,Yes,8,4,77.0
7,7.9,No,4,7,69.0
3,5.4,No,5,5,34.0
3,8.6,Yes,5,3,64.0
8,8.6,Yes,5,9,78.0
5,8.7,Yes,6,7,74.0
4,7.2,No,8,2,52.0
8,8.2,Yes,5,3,76.0
6,6.6,Yes,6,8,53.0
2,6.8,Yes,4,4,46.0
4,9.6,No,4,5,77.0
4,7.6,No,9,1,59.0
6,4.4,No,9,8,35.0
6,6.8,Yes,9,7,61.0
1,7.1,Yes,6,6,46.0
8,9.9,No,4,8,97.0
6,9.2,Yes,9,4,86.0
3,4.5,Yes,7,4,24.0
9,4.1,No,9,8,37.0
2,4.5,No,4,4,18.0
8,8.5,No,7,8,84.0
3,8.2,Yes,6,0,59.0
5,4.3,Yes,7,9,29.0
6,9.5,Yes,4,9,84.0
6,6.8,No,5,7,60.0
4,9.8,No,7,2,78.0
3,6.4,Yes,4,7,46.0
4,4.8,No,9,4,31.0
1,9.5,No,5,1,68.0
4,4.2,Yes,6,8,25.0
1,6.5,No,6,3,37.0
1,8.7,Yes,8,6,62.0
6,8.2,No,6,7,69.0
5,6.6,Yes,8,6,50.0
4,7.5,No,6,5,55.0
3,7.1,Yes,6,6,54.0
1,4.0,No,6,3,12.0
6,9.6,No,8,9,88.0
2,9.2,No,9,0,69.0
8,9.3,No,8,4,88.0
5,5.5,No,7,7,41.0
7,9.0,Yes,4,9,83.0
2,8.7,Yes,4,5,62.0
8,5.0,Yes,9,4,45.0
2,6.5,No,4,1,42.0
4,7.9,Yes,6,9,65.0
1,9.4,No,9,4,73.0
5,4.0,No,4,9,23.0
9,6.5,Yes,8,2,61.0
1,6.7,Yes,7,1,41.0
9,9.2,No,5,2,85.0
8,9.7,No,7,3,93.0
6,4.8,Yes,4,1,35.0
7,9.9,Yes,9,3,92.0
3,9.8,No,4,3,79.0
1,8.3,No,8,5,57.0
5,6.1,Yes,7,4,49.0
2,4.7,No,8,6,28.0
5,9.7,No,8,6,85.0
8,8.8,Yes,5,2,82.0
9,8.1,Yes,8,8,80.0
2,6.6,No,8,6,41.0
3,7.8,No,5,6,57.0
3,5.8,Yes,6,1,41.0
1,6.4,No,6,9,43.0
8,7.7,Yes,9,2,73.0
6,6.0,No,5,2,46.0
8,6.3,Yes,9,5,61.0
